system:index,latitude,longitude,occurrence,point_id,.geo
61_0,41.4713089963124,2.030237457874307,0,42.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.030237457874307,41.4713089963124]}"
63_0,41.42926784101561,2.1943596602829416,0,43.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1943596602829416,41.42926784101561]}"
64_0,41.44085610818075,2.0571869163978818,0,44.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0571869163978818,41.44085610818075]}"
65_0,41.35650430300193,2.086022837018106,0,45.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.086022837018106,41.35650430300193]}"
66_0,41.38992163157118,2.10919937134841,0,46.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.10919937134841,41.38992163157118]}"
67_0,41.40582181210009,2.072278613171079,0,47.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.072278613171079,41.40582181210009]}"
68_0,41.34302957374013,2.123213089780677,0,48.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.123213089780677,41.34302957374013]}"
69_0,41.46295466417009,2.0738955806825174,0,49.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0738955806825174,41.46295466417009]}"
70_0,41.494755025227924,2.1628287938103483,0,50.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1628287938103483,41.494755025227924]}"
71_0,41.49152109020509,2.096802620427553,0,51.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.096802620427553,41.49152109020509]}"
73_0,41.32389545818839,2.0588038839092917,0,52.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0588038839092917,41.32389545818839]}"
74_0,41.440586613595514,2.1267165193887365,0,53.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1267165193887365,41.440586613595514]}"
75_0,41.41983553053235,2.104348468814152,0,54.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.104348468814152,41.41983553053235]}"
78_0,41.46645809377816,2.0849448586771757,0,55.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0849448586771757,41.46645809377816]}"
80_0,41.486939682256086,2.043173197965615,0,56.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.043173197965615,41.486939682256086]}"
82_0,41.3322497903307,2.0491020788408036,0,57.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0491020788408036,41.3322497903307]}"
83_0,41.30772578307424,2.135340346116294,0,58.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.135340346116294,41.30772578307424]}"
84_0,41.47508192050571,2.2555349311314785,0,59.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2555349311314785,41.47508192050571]}"
85_0,41.32793787696693,2.0695836673187387,0,60.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0695836673187387,41.32793787696693]}"
86_0,41.497180476495046,2.25257049069387,0,61.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.25257049069387,41.497180476495046]}"
88_0,41.408247263367215,2.091143234137604,0,62.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.091143234137604,41.408247263367215]}"
91_0,41.49825845483599,2.0946466637456638,0,63.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0946466637456638,41.49825845483599]}"
92_0,41.36216368929188,2.035896844164256,0,64.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.035896844164256,41.36216368929188]}"
93_0,41.440586613595514,2.114858757638359,0,65.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.114858757638359,41.440586613595514]}"
95_0,41.34222108998443,2.0687751835630195,0,66.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0687751835630195,41.34222108998443]}"
96_0,41.47292596382382,2.285987819263113,0,67.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.285987819263113,41.47292596382382]}"
97_0,41.41148119839004,2.1595948587875,0,68.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1595948587875,41.41148119839004]}"
98_0,41.360546721780466,2.091143234137604,0,69.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.091143234137604,41.360546721780466]}"
99_0,41.35084491671198,2.1393827648948047,0,70.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1393827648948047,41.35084491671198]}"
100_0,41.43304076520891,2.174417060975486,0,71.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.174417060975486,41.43304076520891]}"
101_0,41.457564772465375,2.1577083966908503,0,72.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1577083966908503,41.457564772465375]}"
103_0,41.42926784101561,2.1366878190424643,0,73.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1366878190424643,41.42926784101561]}"
