ndvi,ndbi,mndwi,elevation,longitude,latitude
0.47265223,-0.062942274,-0.45160824,7,2.0833278911657884,41.3300938336488
0.020543503,-0.07821187,-0.044438694,14,2.0852143532624394,41.3300938336488
0.0671148,0.1323655,-0.25734875,7,2.0871008153590904,41.3300938336488
0.2138151,0.00418483,-0.38138643,11,2.09491615833093,41.3300938336488
0.24610497,0.08170772,-0.35530725,8,2.106773920081308,41.3300938336488
0.19442855,0.131641,-0.4019591,6,2.1075824038370157,41.3300938336488
0.035169624,0.17438252,-0.24894403,7,2.111894317200789,41.3300938336488
0.11583479,0.045899,-0.188963,6,2.1140502738826763,41.3300938336488
0.1941287,0.11706704,-0.38941476,7,2.1267165193887614,41.3300938336488
0.07647929,0.10848392,-0.261309,9,2.1280639923149405,41.3300938336488
0.199182,0.095247895,-0.33852923,10,2.1286029814854124,41.3300938336488
-0.02041174,0.18522297,-0.19330937,6,2.1334538840196577,41.3300938336488
0.005310351,0.12068834,-0.17349705,5,2.1342623677753654,41.3300938336488
0.0047067534,-0.017186914,-0.04999428,7,2.1396522594800826,41.3300938336488
0.018767893,0.07588728,-0.1552205,6,2.142616699917677,41.3300938336488
-0.030787485,-0.19315779,0.21001129,4,2.1504320428895167,41.3300938336488
-0.017681414,-0.1560661,0.13854583,4,2.1512405266452244,41.3300938336488
0.015767196,-0.09803249,0.03370098,7,2.1523185049861677,41.3300938336488
0.03150277,0.049617574,-0.16271996,0,2.1587863750318284,41.3300938336488
0.029540366,0.08004574,-0.17964196,0,2.1593253642023,41.3300938336488
-0.23255815,0.12727273,0.55943155,0,2.1655237396627247,41.3300938336488
-0.22238587,0.06049822,0.59289616,0,2.1674102017593757,41.3300938336488
-0.15015975,0.030965392,0.55043685,0,2.1692966638560267,41.3300938336488
-0.1311054,0.31230927,0.19375,0,2.1701051476117343,41.3300938336488
0.08777429,-0.13957307,0.38785046,0,2.174147566390272,41.3300938336488
-0.062087186,-0.024531025,0.3102041,0,2.1752255447312154,41.3300938336488
-0.015267176,-0.05882353,0.28630707,0,2.1771120068278664,41.3300938336488
-0.06613757,-0.023188407,0.24354658,0,2.1814239201916403,41.3300938336488
-0.11,-0.05952381,0.33983287,0,2.186813811896357,41.3300938336488
-0.084269665,-0.041533545,0.26918393,0,2.1889697685782443,41.3300938336488
-0.05394191,-0.022421524,0.20727272,0,2.189508757748716,41.3300938336488
-0.054916985,-0.02351314,0.22332233,0,2.202444497840037,41.3300938336488
-0.073474474,0.0,0.17425083,0,2.202983487010509,41.3300938336488
-0.05,-0.054224465,0.21218488,0,2.2032529815957447,41.3300938336488
-0.051968504,-0.00837521,0.2553459,0,2.211876808323292,41.3300938336488
-0.1010101,0.012482663,0.20392585,0,2.2293939563636225,41.3300938336488
-0.044736844,-0.026874116,0.19532163,0,2.230741429289802,41.3300938336488
-0.07782672,-0.011272142,0.23631841,0,2.2374787939206984,41.3300938336488
-0.04375,0.034700315,0.18912238,0,2.2487975665006044,41.3300938336488
-0.06267806,-0.013867488,0.22891566,0,2.2517620069381987,41.3300938336488
0.03379224,-0.086842105,0.22544643,0,2.254726447375793,41.3300938336488
0.0058139535,-0.07286822,0.22938144,0,2.2582298769838594,41.3300938336488
0.005194805,-0.07799443,0.21002387,0,2.2617333065919256,41.3300938336488
-0.11764706,0.030303031,0.25872093,0,2.266584209126171,41.3300938336488
0.15510972,0.11669383,-0.34278795,6,2.083597385751024,41.330363328234036
0.07456186,0.102546334,-0.29778776,9,2.0924907070638077,41.330363328234036
0.090863645,0.19698225,-0.39592275,13,2.0946466637456944,41.330363328234036
0.18903378,0.06913184,-0.4120395,8,2.0984195879389964,41.330363328234036
0.10421386,0.13665752,-0.3992586,8,2.098689082524232,41.330363328234036
0.32084084,-0.047637194,-0.2903059,6,2.1003060500356474,41.330363328234036
0.17305721,0.020963464,-0.23213547,10,2.1019230175470627,41.330363328234036
0.17950901,-0.047181103,-0.22487651,0,2.1083908875927233,41.330363328234036
-0.019455252,0.18792738,-0.18671483,8,2.1129722955417325,41.330363328234036
0.06496391,0.07575174,-0.19802512,7,2.1229435951954594,41.330363328234036
0.1907201,0.09616924,-0.3079547,9,2.1245605627068747,41.330363328234036
0.16386876,0.10979791,-0.34738708,9,2.127525003144469,41.330363328234036
0.08663279,0.17453761,-0.3254306,9,2.1277944977297047,41.330363328234036
-0.012690558,0.15958965,-0.17864789,6,2.133184389434422,41.330363328234036
0.022942241,0.11699817,-0.20041071,8,2.134531862360601,41.330363328234036
-0.037501153,0.08879972,-0.10921532,9,2.1356098407015445,41.330363328234036
-0.0073443693,-0.010322734,-0.015152438,4,2.1504320428895167,41.330363328234036
0.04761051,0.097133145,-0.23471606,4,2.1544744616680545,41.330363328234036
-5.810575E-4,0.31392103,-0.08856577,0,2.1606728371284794,41.330363328234036
-0.17906336,0.13623188,0.49222797,0,2.1639067721513094,41.330363328234036
-0.28550074,0.1539823,0.5408451,0,2.1674102017593757,41.330363328234036
-0.23385939,0.12887439,0.5109541,0,2.167949190929847,41.330363328234036
-0.087635055,-0.021505376,0.27417746,0,2.1776509959983383,41.330363328234036
-0.054916985,-0.0787172,0.28100115,0,2.186813811896357,41.330363328234036
-0.07310345,-0.027522936,0.24465558,0,2.1889697685782443,41.330363328234036
-0.036553524,-0.064935066,0.26027396,0,2.18923926316348,41.330363328234036
-0.020231213,0.0029411765,0.21247113,0,2.189508757748716,41.330363328234036
-0.031039136,-0.019886363,0.22033899,0,2.2086428733004615,41.330363328234036
-0.049773756,-0.053511705,0.2835443,0,2.21133781915282,41.330363328234036
-0.08280255,0.04,0.16932908,0,2.222656591732726,41.330363328234036
-0.020961776,-0.016645327,0.21230769,0,2.2229260863179623,41.330363328234036
-0.015584416,-0.022941971,0.1856018,0,2.2234650754884338,41.330363328234036
-0.082417585,0.02052786,0.22321428,0,2.23020244011933,41.330363328234036
-0.062240664,-0.011940299,0.23556583,0,2.2304719347045663,41.330363328234036
-0.037552156,-0.022156574,0.20718563,0,2.230741429289802,41.330363328234036
-0.05929919,-0.02496329,0.2402746,0,2.2337058697273964,41.330363328234036
-0.07257073,-0.042876903,0.22334455,0,2.233975364312632,41.330363328234036
-0.02359882,-0.0106870225,0.21454546,0,2.2404432343582927,41.330363328234036
-0.023391813,-0.013657056,0.21497585,0,2.2409822235287646,41.330363328234036
-0.04733728,0.028657617,0.14213836,0,2.2447551477220666,41.330363328234036
-0.024320457,-0.03021148,0.19041614,0,2.2461026206482457,41.330363328234036
-0.04725415,-0.037552156,0.19628339,0,2.2474500935744253,41.330363328234036
-0.08345535,-0.016233766,0.2536946,0,2.2504145340120196,41.330363328234036
-0.0014184397,-0.05231689,0.20551379,0,2.256612909472444,41.330363328234036
-0.037707392,0.013910355,0.17897372,0,2.258768866154331,41.330363328234036
-0.012468828,-0.027237354,0.20466596,0,2.2601163390805104,41.330363328234036
-0.08196721,0.04599659,0.19422573,0,2.26469774702952,41.330363328234036
-0.13375796,0.014492754,0.25925925,0,2.2668537037114067,41.330363328234036
-0.07157464,-0.008888889,0.290938,0,2.2673926928818786,41.330363328234036
-0.070512824,-0.03202847,0.28608924,0,2.2690096603932934,41.330363328234036
-0.074809164,-0.04302926,0.24661246,0,2.2692791549785296,41.330363328234036
0.4540857,-0.04976941,-0.4807606,11,2.0852143532624394,41.330632822819275
0.07780567,0.12143797,-0.3479712,13,2.09491615833093,41.330632822819275
0.09447123,0.167057,-0.47464985,8,2.0984195879389964,41.330632822819275
0.10226284,0.20289513,-0.47472993,9,2.0989585771094683,41.330632822819275
0.040348694,0.08308638,-0.17574169,11,2.1121638117860253,41.330632822819275
0.03527768,0.004534005,-0.06830967,7,2.11378077929744,41.330632822819275
0.06661327,0.022031823,-0.12564033,5,2.1151282522236197,41.330632822819275
-0.004169469,-0.08161278,0.046125833,9,2.1164757251497988,41.330632822819275
0.01462062,0.099351086,-0.1636665,8,2.1205181439283365,41.330632822819275
-0.009241181,0.16461809,-0.19990954,8,2.1207876385135727,41.330632822819275
0.37931034,0.083058566,-0.4758237,6,2.1261775302182895,41.330632822819275
0.042741936,0.09127647,-0.20368217,9,2.126986013973997,41.330632822819275
0.07341061,0.15897624,-0.31398857,9,2.127255508559233,41.330632822819275
0.03783876,0.035329532,-0.14438315,5,2.13264540026395,41.330632822819275
0.10082151,0.078404404,-0.24606271,16,2.1372268082129597,41.330632822819275
0.01605599,-0.03350084,-0.0417513,7,2.138304786553903,41.330632822819275
-0.033999775,-0.019977339,0.009761388,7,2.1531269887418754,41.330632822819275
0.017907195,0.06467306,-0.15687189,5,2.1544744616680545,41.330632822819275
0.027379997,0.08415033,-0.17602748,0,2.1593253642023,41.330632822819275
-0.20544218,0.1716312,0.48759305,0,2.164984750492253,41.330632822819275
-0.2778702,0.18726592,0.5584958,0,2.16714070717414,41.330632822819275
-0.3227345,0.19774011,0.56348664,0,2.1674102017593757,41.330632822819275
-0.020166073,-0.031210987,0.22862823,0,2.1730695880493287,41.330632822819275
-0.07673267,0.011920529,0.22357723,0,2.1795374580949893,41.330632822819275
-0.041198503,-0.053497944,0.24424973,0,2.187622295652065,41.330632822819275
-0.07304786,-0.03954802,0.25027564,0,2.2016360140843294,41.330632822819275
-0.08310992,0.011560693,0.20993228,0,2.2027139924252728,41.330632822819275
-0.0379085,-0.026499303,0.22358176,0,2.2032529815957447,41.330632822819275
-0.05668934,-0.03354037,0.19378239,0,2.2035224761809804,41.330632822819275
-0.08042896,-0.019316493,0.2682927,0,2.2124157974937635,41.330632822819275
-0.10047847,0.044067796,0.23,0,2.2148412487608864,41.330632822819275
-0.02035278,-0.00979021,0.20180383,0,2.2167277108575374,41.330632822819275
-0.042176872,-0.053892214,0.2659698,0,2.2186141729541884,41.330632822819275
-0.07949791,0.009009009,0.20473373,0,2.2275074942669715,41.330632822819275
-0.08684864,-0.0068399454,0.18791947,0,2.228315978022679,41.330632822819275
-0.062322944,-0.013782542,0.22874251,0,2.23020244011933,41.330632822819275
-0.078582436,-0.0067340066,0.27250308,0,2.2331668805569245,41.330632822819275
-0.06885246,-0.021582734,0.24022347,0,2.250953523182491,41.330632822819275
-0.05185185,-0.01910828,0.2319202,0,2.2536484690348497,41.330632822819275
-0.09570041,0.03550296,0.1411043,0,2.2541874582053216,41.330632822819275
-0.031636864,-0.01294964,0.18527316,0,2.257151898642916,41.330632822819275
-0.060150377,-0.0053619305,0.16909294,0,2.2579603823986236,41.330632822819275
-0.03924222,0.004207574,0.16937356,0,2.2582298769838594,41.330632822819275
-0.036939315,-0.008287293,0.16511628,0,2.2638892632738123,41.330632822819275
-0.0013642565,-0.023776224,0.18553092,0,2.2649672416147557,41.330632822819275
-0.08146068,-0.015527951,0.23429951,0,2.2655062307852276,41.330632822819275
0.076042,0.20479661,-0.3695042,9,2.089256772040977,41.33090231740451
-0.0039107054,0.007790943,-0.0450223,9,2.0903347503819205,41.33090231740451
